"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "Species1pVal" "Species2pval" "MaxpVal"
"OG0016876" "Lodge" "Pinsyl_asmbl_129073.p1.p1" "Nor" "PICAB_chr11_M00003016906" " 8.18e-09" " 7.53e-09" " 8.18e-09"
"OG0005793" "Lodge" "Pinsyl_asmbl_124198.p1.p1" "Nor" "PICAB_chr08_M00002176323" " 8.79e-09" " 5.44e-09" " 8.79e-09"
"OG0017209" "Lodge" "Pinsyl_asmbl_84341.p1.p1" "Nor" "PICAB_chr04_M00001150697" " 2.95e-10" " 9.84e-09" " 9.84e-09"
"OG0008570" "Lodge" "Pinsyl_asmbl_125024.p1.p1" "Nor" "PICAB_chr07_M00001823742" " 2.85e-10" " 1.19e-08" " 1.19e-08"
"OG0020564" "Lodge" "Pinsyl_asmbl_5358.p1.p1" "Nor" "PICAB_chr10_M00002930546" " 1.93e-09" " 1.36e-08" " 1.36e-08"
"OG0010948" "Lodge" "Pinsyl_asmbl_90452.p1.p1" "Nor" "PICAB_chr10_M00002893003" " 1.41e-08" " 2.79e-09" " 1.41e-08"
"OG0002658" "Lodge" "Pinsyl_asmbl_9266.p1.p1" "Nor" "PICAB_chr08_M00002078563" " 6.16e-12" " 1.42e-08" " 1.42e-08"
"OG0008456" "Lodge" "Pinsyl_asmbl_62312.p1.p1" "Nor" "PICAB_chr10_M00002669741" " 1.46e-08" " 1.28e-09" " 1.46e-08"
"OG0006719" "Lodge" "Pinsyl_asmbl_129969.p1.p1" "Nor" "PICAB_chr07_M00001881971" " 2.22e-09" " 1.73e-08" " 1.73e-08"
"OG0004676" "Lodge" "Pinsyl_asmbl_25902.p1.p1" "Nor" "PICAB_chr02_M00000370940" " 1.89e-08" " 1.43e-11" " 1.89e-08"
"OG0020277" "Lodge" "Pinsyl_asmbl_129993.p1.p1" "Nor" "PICAB_chr08_M00002153203" " 5.88e-09" " 2.04e-08" " 2.04e-08"
"OG0017509" "Lodge" "Pinsyl_asmbl_60464.p1.p1" "Nor" "PICAB_chr11_M00003081461" " 2.45e-08" " 4.32e-10" " 2.45e-08"
"OG0008161" "Lodge" "Pinsyl_asmbl_1999.p1.p1" "Nor" "PICAB_chr02_M00000463973" " 1.04e-08" " 2.58e-08" " 2.58e-08"
"OG0017340" "Lodge" "Pinsyl_asmbl_31476.p1.p1" "Nor" "PICAB_chr07_M00001904591" " 2.62e-08" " 1.67e-10" " 2.62e-08"
"OG0012664" "Lodge" "Pinsyl_asmbl_35558.p1.p1" "Nor" "PICAB_chr10_M00002882081" " 1.10e-08" " 3.34e-08" " 3.34e-08"
"OG0007093" "Lodge" "Pinsyl_asmbl_99403.p1.p1" "Nor" "PICAB_chr12_M00003413759" " 3.52e-08" " 4.88e-11" " 3.52e-08"
"OG0008446" "Lodge" "Pinsyl_asmbl_108987.p1.p1" "Nor" "PICAB_chr01_M00000155857" " 4.00e-08" " 6.47e-10" " 4.00e-08"
"OG0003851" "Lodge" "Pinsyl_asmbl_89045.p1.p1" "Nor" "PICAB_chr08_M00002265898" " 2.96e-08" " 4.33e-08" " 4.33e-08"
"OG0006666" "Lodge" "Pinsyl_asmbl_118459.p1.p1" "Nor" "PICAB_chr03_M00000813974" " 3.24e-08" " 5.03e-08" " 5.03e-08"
"OG0020390" "Lodge" "Pinsyl_asmbl_64713.p1.p1" "Nor" "PICAB_chr09_M00002459141" " 6.20e-08" " 5.44e-09" " 6.20e-08"
"OG0019945" "Lodge" "Pinsyl_asmbl_137485.p1.p1" "Nor" "PICAB_chr05_M00001370618" " 6.43e-08" " 4.21e-09" " 6.43e-08"
"OG0010752" "Lodge" "Pinsyl_asmbl_115339.p1.p1" "Nor" "PICAB_chr02_M00000527559" " 4.43e-09" " 6.66e-08" " 6.66e-08"
"OG0007039" "Lodge" "Pinsyl_asmbl_23700.p1.p1" "Nor" "PICAB_chr04_M00001116097" " 8.17e-08" " 6.08e-10" " 8.17e-08"
"OG0002953" "Lodge" "Pinsyl_asmbl_2723.p1.p1" "Nor" "PICAB_chr04_M00001143769" " 3.18e-10" " 8.90e-08" " 8.90e-08"
"OG0019440" "Lodge" "Pinsyl_asmbl_30016.p1.p1" "Nor" "PICAB_chr01_M00000086079" " 7.77e-08" " 9.09e-08" " 9.09e-08"
"OG0019894" "Lodge" "Pinsyl_asmbl_32346.p1.p1" "Nor" "PICAB_chr05_M00001234443" " 9.30e-08" " 2.04e-08" " 9.30e-08"
"OG0004862" "Lodge" "Pinsyl_asmbl_20592.p1.p1" "Nor" "PICAB_chr11_M00002947225" " 9.45e-08" " 1.68e-08" " 9.45e-08"
"OG0012410" "Lodge" "Pinsyl_asmbl_19578.p1.p1" "Nor" "PICAB_chr09_M00002374157" " 7.50e-09" " 1.37e-07" " 1.37e-07"
"OG0025273" "Lodge" "Pinsyl_asmbl_38771.p1.p1" "Nor" "PICAB_chr07_M00001847001" " 1.97e-08" " 1.44e-07" " 1.44e-07"
"OG0007163" "Lodge" "Pinsyl_asmbl_137542.p1.p1" "Nor" "PICAB_chr05_M00001368557" " 1.47e-07" " 6.12e-10" " 1.47e-07"
"OG0019981" "Lodge" "Pinsyl_asmbl_41004.p1.p1" "Nor" "PICAB_chr05_M00001479666" " 6.42e-08" " 1.78e-07" " 1.78e-07"
"OG0011161" "Lodge" "Pinsyl_asmbl_88582.p1.p1" "Nor" "PICAB_chr02_M00000434583" " 9.17e-11" " 1.85e-07" " 1.85e-07"
"OG0016839" "Lodge" "Pinsyl_asmbl_116797.p1.p1" "Nor" "PICAB_chr01_M00000121395" " 8.81e-08" " 2.13e-07" " 2.13e-07"
"OG0008481" "Lodge" "Pinsyl_asmbl_115441.p1.p1" "Nor" "PICAB_chr02_M00000354684" " 2.15e-07" " 4.71e-09" " 2.15e-07"
"OG0016805" "Lodge" "Pinsyl_asmbl_57076.p1.p1" "Nor" "PICAB_chr06_M00001712115" " 2.03e-09" " 2.52e-07" " 2.52e-07"
"OG0011480" "Lodge" "Pinsyl_asmbl_103758.p1.p1" "Nor" "PICAB_chr10_M00002762648" " 5.77e-08" " 2.61e-07" " 2.61e-07"
"OG0015352" "Lodge" "Pinsyl_asmbl_70203.p1.p1" "Nor" "PICAB_chr03_M00000644815" " 2.69e-07" " 9.63e-09" " 2.69e-07"
"OG0006074" "Lodge" "Pinsyl_asmbl_119310.p1.p1" "Nor" "PICAB_chr03_M00000707121" " 2.72e-07" " 1.48e-11" " 2.72e-07"
"OG0020224" "Lodge" "Pinsyl_asmbl_6263.p1.p1" "Nor" "PICAB_chr08_M00002057769" " 1.50e-09" " 2.74e-07" " 2.74e-07"
"OG0005818" "Lodge" "Pinsyl_asmbl_86220.p1.p1" "Nor" "PICAB_chr07_M00001908447" " 2.09e-08" " 3.27e-07" " 3.27e-07"
"OG0009925" "Lodge" "Pinsyl_asmbl_54663.p1.p1" "Nor" "PICAB_chr01_M00000151236" " 4.12e-07" " 3.69e-10" " 4.12e-07"
"OG0013853" "Lodge" "Pinsyl_asmbl_117487.p1.p1" "Nor" "PICAB_chr01_M00000095114" " 4.36e-07" " 3.29e-13" " 4.36e-07"
"OG0010384" "Lodge" "Pinsyl_asmbl_12793.p1.p1" "Nor" "PICAB_chr06_M00001632006" " 1.17e-08" " 4.63e-07" " 4.63e-07"
"OG0020650" "Lodge" "Pinsyl_asmbl_141233.p1.p1" "Nor" "PICAB_chr12_M00003215601" " 5.04e-07" " 4.02e-09" " 5.04e-07"
"OG0008175" "Lodge" "Pinsyl_asmbl_48187.p1.p1" "Nor" "PICAB_chr05_M00001448151" " 6.11e-07" " 4.67e-07" " 6.11e-07"
"OG0017099" "Lodge" "Pinsyl_asmbl_137332.p1.p1" "Nor" "PICAB_chr02_M00000577247" " 6.42e-07" " 3.67e-07" " 6.42e-07"
"OG0019906" "Lodge" "Pinsyl_asmbl_52605.p1.p1" "Nor" "PICAB_chr05_M00001272882" " 1.46e-07" " 6.94e-07" " 6.94e-07"
"OG0020042" "Lodge" "Pinsyl_asmbl_84125.p1.p1" "Nor" "PICAB_chr06_M00001653845" " 1.01e-08" " 8.91e-07" " 8.91e-07"
"OG0010381" "Lodge" "Pinsyl_asmbl_9697.p1.p1" "Nor" "PICAB_chr08_M00002209272" " 1.06e-06" " 5.54e-07" " 1.06e-06"
"OG0005882" "Lodge" "Pinsyl_asmbl_1440.p1.p1" "Nor" "PICAB_chr07_M00001971389" " 1.27e-06" " 4.25e-08" " 1.27e-06"
"OG0014028" "Lodge" "Pinsyl_asmbl_127277.p1.p1" "Nor" "PICAB_chr05_M00001334035" " 3.79e-07" " 1.37e-06" " 1.37e-06"
"OG0020708" "Lodge" "Pinsyl_asmbl_131321.p1.p1" "Nor" "PICAB_chr12_M00003376326" " 1.39e-06" " 4.50e-13" " 1.39e-06"
"OG0025629" "Lodge" "Pinsyl_asmbl_35385.p1.p1" "Nor" "PICAB_chr11_M00003152063" " 1.83e-06" " 3.23e-07" " 1.83e-06"
"OG0007676" "Lodge" "Pinsyl_asmbl_86091.p1.p1" "Nor" "PICAB_chr08_M00002220640" " 4.83e-08" " 2.01e-06" " 2.01e-06"
"OG0017403" "Lodge" "Pinsyl_asmbl_73465.p1.p1" "Nor" "PICAB_chr09_M00002360250" " 2.02e-06" " 2.67e-07" " 2.02e-06"
"OG0006012" "Lodge" "Pinsyl_asmbl_2676.p1.p1" "Nor" "PICAB_chr04_M00001141107" " 7.01e-07" " 2.06e-06" " 2.06e-06"
"OG0015524" "Lodge" "Pinsyl_asmbl_105430.p1.p1" "Nor" "PICAB_chr10_M00002743555" " 2.21e-06" " 1.02e-06" " 2.21e-06"
"OG0002617" "Lodge" "Pinsyl_asmbl_61794.p1.p1" "Nor" "PICAB_chr03_M00000888775" " 2.41e-06" " 6.69e-08" " 2.41e-06"
"OG0020285" "Lodge" "Pinsyl_asmbl_92303.p1.p1" "Nor" "PICAB_chr08_M00002182133" " 2.59e-06" " 2.15e-07" " 2.59e-06"
"OG0010007" "Lodge" "Pinsyl_asmbl_73196.p1.p1" "Nor" "PICAB_chr01_M00000139131" " 2.44e-06" " 3.00e-06" " 3.00e-06"
"OG0012760" "Lodge" "Pinsyl_asmbl_42903.p1.p1" "Nor" "PICAB_chr09_M00002531857" " 3.30e-06" " 2.37e-07" " 3.30e-06"
"OG0025638" "Lodge" "Pinsyl_asmbl_3565.p1.p1" "Nor" "PICAB_chr12_M00003194324" " 3.81e-06" " 7.79e-09" " 3.81e-06"
"OG0020566" "Lodge" "Pinsyl_asmbl_20323.p1.p1" "Nor" "PICAB_chr11_M00002941802" " 1.25e-07" " 4.21e-06" " 4.21e-06"
"OG0011804" "Lodge" "Pinsyl_asmbl_80555.p1.p1" "Nor" "PICAB_chr02_M00000453330" " 1.18e-07" " 4.64e-06" " 4.64e-06"
"OG0020139" "Lodge" "Pinsyl_asmbl_63694.p1.p1" "Nor" "PICAB_chr07_M00001871502" " 4.71e-06" " 1.70e-08" " 4.71e-06"
"OG0000773" "Lodge" "Pinsyl_asmbl_129149.p1.p1" "Nor" "PICAB_chr12_M00003291682" " 4.85e-06" " 8.38e-07" " 4.85e-06"
"OG0002839" "Lodge" "Pinsyl_asmbl_50466.p1.p1" "Nor" "PICAB_chr03_M00000771209" " 4.90e-06" " 1.35e-06" " 4.90e-06"
"OG0016978" "Lodge" "Pinsyl_asmbl_61500.p1.p1" "Nor" "PICAB_chr01_M00000036172" " 5.01e-06" " 6.06e-07" " 5.01e-06"
"OG0008436" "Lodge" "Pinsyl_asmbl_71910.p1.p1" "Nor" "PICAB_chr12_M00003336759" " 5.11e-06" " 8.18e-07" " 5.11e-06"
"OG0009841" "Lodge" "Pinsyl_asmbl_94258.p1.p1" "Nor" "PICAB_chr04_M00001129952" " 5.63e-06" " 1.70e-06" " 5.63e-06"
"OG0008743" "Lodge" "Pinsyl_asmbl_59273.p1.p1" "Nor" "PICAB_chr04_M00001104595" " 5.72e-06" " 3.57e-06" " 5.72e-06"
"OG0019889" "Lodge" "Pinsyl_asmbl_64765.p1.p1" "Nor" "PICAB_chr05_M00001228910" " 3.86e-11" " 6.09e-06" " 6.09e-06"
"OG0015078" "Lodge" "Pinsyl_asmbl_128856.p1.p1" "Nor" "PICAB_chr10_M00002837133" " 6.21e-06" " 6.89e-07" " 6.21e-06"
"OG0011869" "Lodge" "Pinsyl_asmbl_49466.p1.p1" "Nor" "PICAB_chr03_M00000700064" " 3.01e-06" " 6.54e-06" " 6.54e-06"
"OG0019796" "Lodge" "Pinsyl_asmbl_50108.p1.p1" "Nor" "PICAB_chr04_M00000938519" " 7.63e-06" " 3.56e-06" " 7.63e-06"
"OG0009894" "Lodge" "Pinsyl_asmbl_104187.p1.p1" "Nor" "PICAB_chr04_M00001083305" " 8.12e-06" " 2.93e-07" " 8.12e-06"
"OG0007565" "Lodge" "Pinsyl_asmbl_98994.p1.p1" "Nor" "PICAB_chr05_M00001489707" " 1.85e-06" " 8.23e-06" " 8.23e-06"
"OG0020498" "Lodge" "Pinsyl_asmbl_108011.p1.p1" "Nor" "PICAB_chr10_M00002754940" " 3.03e-06" " 8.77e-06" " 8.77e-06"
"OG0020036" "Lodge" "Pinsyl_asmbl_142718.p1.p1" "Nor" "PICAB_chr06_M00001624797" " 1.03e-07" " 9.39e-06" " 9.39e-06"
"OG0012919" "Lodge" "Pinsyl_asmbl_134886.p1.p1" "Nor" "PICAB_chr10_M00002855159" " 1.07e-05" " 1.78e-06" " 1.07e-05"
"OG0004854" "Lodge" "Pinsyl_asmbl_121228.p1.p1" "Nor" "PICAB_chr12_M00003326369" " 1.12e-05" " 2.96e-06" " 1.12e-05"
"OG0004335" "Lodge" "Pinsyl_asmbl_85200.p1.p1" "Nor" "PICAB_chr01_M00000031902" " 1.13e-07" " 1.12e-05" " 1.12e-05"
"OG0020220" "Lodge" "Pinsyl_asmbl_5996.p1.p1" "Nor" "PICAB_chr07_M00002047217" " 2.64e-07" " 1.19e-05" " 1.19e-05"
"OG0019443" "Lodge" "Pinsyl_asmbl_117212.p1.p1" "Nor" "PICAB_chr01_M00000086579" " 1.29e-05" " 2.97e-06" " 1.29e-05"
"OG0014009" "Lodge" "Pinsyl_asmbl_52462.p1.p1" "Nor" "PICAB_chr04_M00000993225" " 1.61e-06" " 1.47e-05" " 1.47e-05"
"OG0020413" "Lodge" "Pinsyl_asmbl_85858.p1.p1" "Nor" "PICAB_chr09_M00002537128" " 2.57e-06" " 1.57e-05" " 1.57e-05"
"OG0011775" "Lodge" "Pinsyl_asmbl_3152.p1.p1" "Nor" "PICAB_cUL11_M00003450410" " 2.06e-08" " 1.59e-05" " 1.59e-05"
"OG0000842" "Lodge" "Pinsyl_asmbl_74448.p1.p1" "Nor" "PICAB_chr07_M00001858319" " 1.59e-05" " 5.76e-06" " 1.59e-05"
"OG0024746" "Lodge" "Pinsyl_asmbl_78264.p1.p1" "Nor" "PICAB_chr01_M00000226993" " 2.19e-06" " 1.64e-05" " 1.64e-05"
"OG0011624" "Lodge" "Pinsyl_asmbl_118518.p1.p1" "Nor" "PICAB_chr03_M00000812435" " 9.81e-07" " 1.66e-05" " 1.66e-05"
"OG0003867" "Lodge" "Pinsyl_asmbl_41420.p1.p1" "Nor" "PICAB_chr12_M00003170196" " 7.99e-06" " 1.68e-05" " 1.68e-05"
"OG0016704" "Lodge" "Pinsyl_asmbl_44535.p1.p1" "Nor" "PICAB_chr02_M00000378075" " 1.99e-07" " 1.71e-05" " 1.71e-05"
"OG0017149" "Lodge" "Pinsyl_asmbl_44591.p1.p1" "Nor" "PICAB_chr03_M00000854736" " 3.52e-06" " 2.01e-05" " 2.01e-05"
"OG0005565" "Lodge" "Pinsyl_asmbl_50360.p1.p1" "Nor" "PICAB_chr03_M00000769006" " 2.56e-05" " 5.02e-06" " 2.56e-05"
"OG0013819" "Lodge" "Pinsyl_asmbl_75827.p1.p1" "Nor" "PICAB_chr04_M00001019910" " 2.60e-05" " 1.10e-05" " 2.60e-05"
"OG0016985" "Lodge" "Pinsyl_asmbl_109385.p1.p1" "Nor" "PICAB_chr01_M00000066195" " 2.58e-05" " 2.77e-05" " 2.77e-05"
"OG0005171" "Lodge" "Pinsyl_asmbl_6221.p1.p1" "Nor" "PICAB_chr12_M00003416988" " 3.04e-05" " 2.00e-05" " 3.04e-05"
"OG0015503" "Lodge" "Pinsyl_asmbl_8670.p1.p1" "Nor" "PICAB_chr09_M00002422350" " 3.19e-05" " 1.88e-05" " 3.19e-05"
"OG0017437" "Lodge" "Pinsyl_asmbl_28994.p1.p1" "Nor" "PICAB_chr09_M00002560356" " 4.29e-08" " 3.20e-05" " 3.20e-05"
"OG0005343" "Lodge" "Pinsyl_asmbl_35225.p1.p1" "Nor" "PICAB_chr11_M00003130874" " 3.74e-05" " 1.34e-06" " 3.74e-05"
"OG0019579" "Lodge" "Pinsyl_asmbl_20161.p1.p1" "Nor" "PICAB_chr02_M00000364320" " 4.14e-05" " 3.38e-06" " 4.14e-05"
"OG0009189" "Lodge" "Pinsyl_asmbl_118495.p1.p1" "Nor" "PICAB_chr03_M00000813010" " 4.85e-05" " 1.71e-05" " 4.85e-05"
"OG0015216" "Lodge" "Pinsyl_asmbl_29225.p1.p1" "Nor" "PICAB_chr09_M00002566302" " 5.50e-05" " 1.53e-05" " 5.50e-05"
"OG0020409" "Lodge" "Pinsyl_asmbl_68255.p1.p1" "Nor" "PICAB_chr09_M00002518779" " 6.09e-05" " 5.08e-06" " 6.09e-05"
"OG0002550" "Lodge" "Pinsyl_asmbl_75621.p1.p1" "Nor" "PICAB_chr05_M00001328312" " 6.91e-05" " 4.32e-06" " 6.91e-05"
"OG0017179" "Lodge" "Pinsyl_asmbl_52295.p1.p1" "Nor" "PICAB_chr04_M00000996970" " 3.10e-05" " 7.40e-05" " 7.40e-05"
"OG0003285" "Lodge" "Pinsyl_asmbl_42088.p1.p1" "Nor" "PICAB_chr06_M00001696896" " 5.43e-05" " 7.42e-05" " 7.42e-05"
"OG0015115" "Lodge" "Pinsyl_asmbl_81943.p1.p1" "Nor" "PICAB_chr02_M00000387601" " 8.32e-05" " 6.54e-05" " 8.32e-05"
"OG0006478" "Lodge" "Pinsyl_asmbl_99029.p1.p1" "Nor" "PICAB_chr05_M00001488168" " 8.41e-06" " 8.55e-05" " 8.55e-05"
"OG0017031" "Lodge" "Pinsyl_asmbl_102049.p1.p1" "Nor" "PICAB_chr01_M00000245544" " 9.50e-05" " 1.55e-05" " 9.50e-05"
"OG0017127" "Lodge" "Pinsyl_asmbl_69656.p1.p1" "Nor" "PICAB_chr03_M00000713423" " 9.67e-05" " 3.68e-06" " 9.67e-05"
"OG0020278" "Lodge" "Pinsyl_asmbl_130010.p1.p1" "Nor" "PICAB_chr08_M00002153814" " 4.50e-06" " 9.82e-05" " 9.82e-05"
"OG0020399" "Lodge" "Pinsyl_asmbl_33923.p1.p1" "Nor" "PICAB_chr09_M00002489236" " 1.01e-04" " 7.10e-06" " 1.01e-04"
"OG0012943" "Lodge" "Pinsyl_asmbl_78504.p1.p1" "Nor" "PICAB_chr12_M00003372747" " 1.07e-04" " 2.96e-05" " 1.07e-04"
"OG0004008" "Lodge" "Pinsyl_asmbl_99814.p1.p1" "Nor" "PICAB_chr12_M00003311050" " 1.13e-04" " 1.51e-06" " 1.13e-04"
"OG0001700" "Lodge" "Pinsyl_asmbl_135113.p1.p1" "Nor" "PICAB_chr03_M00000744906" " 1.28e-04" " 1.07e-04" " 1.28e-04"
"OG0019635" "Lodge" "Pinsyl_asmbl_18859.p1.p1" "Nor" "PICAB_chr02_M00000546483" " 1.12e-04" " 1.39e-04" " 1.39e-04"
"OG0020000" "Lodge" "Pinsyl_asmbl_95516.p1.p1" "Nor" "PICAB_chr06_M00001538013" " 1.21e-05" " 1.44e-04" " 1.44e-04"
"OG0009942" "Lodge" "Pinsyl_asmbl_138643.p1.p1" "Nor" "PICAB_chr04_M00001024910" " 1.52e-04" " 1.25e-04" " 1.52e-04"
"OG0008232" "Lodge" "Pinsyl_asmbl_132043.p1.p1" "Nor" "PICAB_chr05_M00001302761" " 1.00e-05" " 1.67e-04" " 1.67e-04"
"OG0015155" "Lodge" "Pinsyl_asmbl_26448.p1.p1" "Nor" "PICAB_chr10_M00002687353" " 1.84e-04" " 4.55e-06" " 1.84e-04"
"OG0017014" "Lodge" "Pinsyl_asmbl_104623.p1.p1" "Nor" "PICAB_chr01_M00000164398" " 1.97e-04" " 2.25e-04" " 2.25e-04"
"OG0004678" "Lodge" "Pinsyl_asmbl_66964.p1.p1" "Nor" "PICAB_chr07_M00002006356" " 1.58e-04" " 2.38e-04" " 2.38e-04"
"OG0006555" "Lodge" "Pinsyl_asmbl_36391.p1.p1" "Nor" "PICAB_cUL01_M00003532073" " 2.62e-04" " 1.04e-04" " 2.62e-04"
"OG0020173" "Lodge" "Pinsyl_asmbl_107623.p1.p1" "Nor" "PICAB_chr07_M00001917911" " 3.20e-04" " 3.01e-07" " 3.20e-04"
"OG0019622" "Lodge" "Pinsyl_asmbl_115273.p1.p1" "Nor" "PICAB_chr02_M00000526610" " 3.21e-04" " 3.21e-04" " 3.21e-04"
"OG0017233" "Lodge" "Pinsyl_asmbl_119913.p1.p1" "Nor" "PICAB_chr05_M00001271086" " 3.23e-04" " 6.85e-05" " 3.23e-04"
"OG0005563" "Lodge" "Pinsyl_asmbl_85496.p1.p1" "Nor" "PICAB_chr06_M00001525211" " 3.36e-04" " 2.78e-06" " 3.36e-04"
"OG0013946" "Lodge" "Pinsyl_asmbl_127859.p1.p1" "Nor" "PICAB_chr01_M00000251954" " 3.52e-04" " 1.59e-05" " 3.52e-04"
"OG0012096" "Lodge" "Pinsyl_asmbl_76549.p1.p1" "Nor" "PICAB_chr11_M00002957050" " 3.55e-04" " 3.27e-04" " 3.55e-04"
"OG0015442" "Lodge" "Pinsyl_asmbl_11592.p1.p1" "Nor" "PICAB_chr06_M00001705244" " 3.56e-04" " 1.05e-06" " 3.56e-04"
"OG0009219" "Lodge" "Pinsyl_asmbl_58945.p1.p1" "Nor" "PICAB_chr01_M00000305924" " 3.46e-05" " 3.62e-04" " 3.62e-04"
"OG0017020" "Lodge" "Pinsyl_asmbl_132854.p1.p1" "Nor" "PICAB_chr01_M00000205190" " 4.21e-04" " 3.62e-04" " 4.21e-04"
"OG0019901" "Lodge" "Pinsyl_asmbl_109318.p1.p1" "Nor" "PICAB_chr05_M00001266649" " 4.32e-04" " 6.17e-06" " 4.32e-04"
"OG0024940" "Lodge" "Pinsyl_asmbl_63723.p1.p1" "Nor" "PICAB_chr03_M00000783679" " 1.19e-05" " 4.51e-04" " 4.51e-04"
"OG0019524" "Lodge" "Pinsyl_asmbl_114317.p1.p1" "Nor" "PICAB_chr01_M00000234542" " 4.62e-04" " 2.94e-07" " 4.62e-04"
"OG0005504" "Lodge" "Pinsyl_asmbl_126308.p1.p1" "Nor" "PICAB_chr06_M00001509277" " 1.28e-04" " 4.78e-04" " 4.78e-04"
"OG0017383" "Lodge" "Pinsyl_asmbl_33015.p1.p1" "Nor" "PICAB_chr08_M00002193205" " 5.30e-04" " 4.47e-04" " 5.30e-04"
"OG0011739" "Lodge" "Pinsyl_asmbl_55883.p1.p1" "Nor" "PICAB_chr11_M00003063634" " 5.34e-04" " 1.12e-05" " 5.34e-04"
"OG0006359" "Lodge" "Pinsyl_asmbl_111248.p1.p1" "Nor" "PICAB_chr06_M00001738879" " 5.30e-04" " 5.76e-04" " 5.76e-04"
"OG0017348" "Lodge" "Pinsyl_asmbl_87897.p1.p1" "Nor" "PICAB_chr07_M00001964307" " 2.55e-04" " 6.10e-04" " 6.10e-04"
"OG0015245" "Lodge" "Pinsyl_asmbl_41391.p1.p1" "Nor" "PICAB_cUL12_M00003555922" " 6.44e-04" " 5.18e-05" " 6.44e-04"
"OG0007339" "Lodge" "Pinsyl_asmbl_15548.p1.p1" "Nor" "PICAB_chr08_M00002344406" " 4.75e-04" " 6.46e-04" " 6.46e-04"
"OG0019689" "Lodge" "Pinsyl_asmbl_69425.p1.p1" "Nor" "PICAB_chr03_M00000704881" " 6.75e-04" " 1.40e-05" " 6.75e-04"
"OG0002993" "Lodge" "Pinsyl_asmbl_100057.p1.p1" "Nor" "PICAB_chr02_M00000440891" " 6.86e-04" " 7.77e-05" " 6.86e-04"
"OG0019770" "Lodge" "Pinsyl_asmbl_141926.p1.p1" "Nor" "PICAB_chr03_M00000858983" " 6.96e-04" " 1.40e-04" " 6.96e-04"
"OG0007202" "Lodge" "Pinsyl_asmbl_90128.p1.p1" "Nor" "PICAB_chr04_M00001072675" " 8.09e-04" " 3.93e-06" " 8.09e-04"
"OG0024708" "Lodge" "Pinsyl_asmbl_101431.p1.p1" "Nor" "PICAB_chr01_M00000112913" " 8.09e-04" " 1.00e-04" " 8.09e-04"
"OG0002557" "Lodge" "Pinsyl_asmbl_84865.p1.p1" "Nor" "PICAB_chr02_M00000531886" " 8.62e-04" " 5.82e-04" " 8.62e-04"
"OG0003571" "Lodge" "Pinsyl_asmbl_64230.p1.p1" "Nor" "PICAB_chr07_M00001936978" " 4.16e-07" " 1.05e-03" " 1.05e-03"
"OG0000843" "Lodge" "Pinsyl_asmbl_53614.p1.p1" "Nor" "PICAB_chr04_M00001207722" " 3.81e-04" " 1.11e-03" " 1.11e-03"
"OG0019642" "Lodge" "Pinsyl_asmbl_46141.p1.p1" "Nor" "PICAB_chr02_M00000568807" " 1.43e-04" " 1.13e-03" " 1.13e-03"
"OG0007773" "Lodge" "Pinsyl_asmbl_117102.p1.p1" "Nor" "PICAB_chr01_M00000149936" " 1.34e-03" " 7.44e-04" " 1.34e-03"
"OG0017293" "Lodge" "Pinsyl_asmbl_110351.p1.p1" "Nor" "PICAB_chr06_M00001660449" " 1.37e-06" " 1.34e-03" " 1.34e-03"
"OG0003951" "Lodge" "Pinsyl_asmbl_95024.p1.p1" "Nor" "PICAB_chr02_M00000492396" " 5.09e-05" " 1.37e-03" " 1.37e-03"
"OG0019755" "Lodge" "Pinsyl_asmbl_127175.p1.p1" "Nor" "PICAB_chr03_M00000835520" " 1.56e-03" " 2.44e-04" " 1.56e-03"
"OG0009065" "Lodge" "Pinsyl_asmbl_63509.p1.p1" "Nor" "PICAB_chr09_M00002442173" " 1.13e-03" " 2.18e-03" " 2.18e-03"
"OG0010685" "Lodge" "Pinsyl_asmbl_82683.p1.p1" "Nor" "PICAB_chr11_M00002974738" " 2.38e-03" " 1.32e-04" " 2.38e-03"
"OG0012939" "Lodge" "Pinsyl_asmbl_97105.p1.p1" "Nor" "PICAB_chr12_M00003314909" " 2.44e-03" " 8.35e-04" " 2.44e-03"
"OG0014106" "Lodge" "Pinsyl_asmbl_83793.p1.p1" "Nor" "PICAB_chr10_M00002891058" " 4.99e-04" " 2.48e-03" " 2.48e-03"
"OG0005097" "Lodge" "Pinsyl_asmbl_26071.p1.p1" "Nor" "PICAB_chr02_M00000367288" " 2.93e-04" " 2.61e-03" " 2.61e-03"
"OG0019937" "Lodge" "Pinsyl_asmbl_99858.p1.p1" "Nor" "PICAB_chr05_M00001343190" " 2.65e-03" " 1.03e-03" " 2.65e-03"
"OG0025452" "Lodge" "Pinsyl_asmbl_79882.p1.p1" "Nor" "PICAB_chr09_M00002419679" " 1.79e-03" " 2.68e-03" " 2.68e-03"
"OG0019578" "Lodge" "Pinsyl_asmbl_137757.p1.p1" "Nor" "PICAB_chr02_M00000363290" " 2.70e-03" " 1.68e-03" " 2.70e-03"
"OG0001474" "Lodge" "Pinsyl_asmbl_18622.p1.p1" "Nor" "PICAB_chr02_M00000541848" " 2.92e-03" " 7.78e-04" " 2.92e-03"
